Student_id,Age,Gender,School_type,Parent_education,study_hours,Attendance_percentage,Internet_access,Travel_time,Extra_activities,Study_method,Math_score,Science_score,English_score,Overall_score,Final_grade
2400,18,Male,Public,Diploma,2.1,91.7,yes,30-60 min,Yes,Coaching,66.3,48.1,58.3,58.1,D
2401,14,Female,Public,Post Graduate,2.9,79.4,yes,>60 min,Yes,Notes,56.3,63.7,41,49.3,E
2402,17,Male,Public,High School,4.4,93.9,yes,<15 min,Yes,Textbook,75.4,81.6,77.1,74.8,C
2403,18,Male,Private,Graduate,7.7,66.3,yes,15-30 min,Yes,Textbook,89.8,82.3,77.3,80.1,C
2404,17,Female,Private,High School,3.1,77.3,yes,15-30 min,Yes,Group study,54.1,52,44.6,49.3,E
2405,16,Female,Private,High School,2.2,73.1,yes,>60 min,Yes,Textbook,56.1,52.7,56.7,56.1,D
2406,18,Male,Public,Graduate,7.7,59.2,yes,>60 min,Yes,Textbook,71.2,70.6,67.5,85.5,B
2407,16,Other,Private,Ph.D,6.6,77.1,yes,>60 min,Yes,Coaching,82.5,96.7,97,86.6,B
2408,18,Female,Private,High School,5.5,54.2,yes,30-60 min,No,Notes,60.1,40,46.2,57.2,D
2409,16,Female,Private,No Formal,3.6,68.7,yes,15-30 min,Yes,Group study,35.8,48.3,44.3,50.3,E
2410,14,Female,Private,No Formal,3.7,76.7,yes,>60 min,No,Online videos,55.5,68.8,61.6,68.6,D
2411,17,Male,Public,Diploma,7.6,57.3,yes,30-60 min,Yes,Online videos,60.9,71.8,56.5,75.1,C
2412,14,Female,Private,Post Graduate,1,87.7,yes,15-30 min,Yes,Coaching,43.1,45.8,52.4,43.7,E
2413,19,Female,Private,Post Graduate,6.2,59.5,yes,15-30 min,No,Coaching,79.2,99.4,80.6,80,C
2414,17,Male,Private,High School,5,86.4,yes,15-30 min,Yes,Mixed,68.9,84.4,82.8,82.2,C
2415,16,Female,Public,Ph.D,7.8,51.2,yes,>60 min,No,Group study,68.3,81,97.4,78.2,C
2416,16,Male,Public,No Formal,4.7,84.4,yes,30-60 min,Yes,Notes,74.8,73,56.6,62.9,D
2417,17,Female,Private,Graduate,2.6,70,yes,>60 min,Yes,Online videos,49.7,49.1,26.2,43.9,E
2418,15,Male,Private,Ph.D,6.3,89.5,yes,>60 min,No,Coaching,93.5,89.3,92.7,88,B
2419,15,Male,Public,Post Graduate,7.9,78.1,yes,15-30 min,No,Coaching,83.7,93.6,100,96.9,A
2420,16,Female,Public,Post Graduate,7.3,69,yes,>60 min,Yes,Notes,93.7,90.1,66.2,89,B
2421,15,Female,Private,High School,2.7,83.2,yes,15-30 min,No,Coaching,47,57,35.4,51.5,E
2422,18,Other,Private,Post Graduate,3.1,69.4,yes,30-60 min,Yes,Coaching,37.9,58.2,58.5,52.7,E
2423,14,Female,Private,Diploma,6.2,67.8,no,>60 min,No,Coaching,60.3,63.3,71.4,73,C
2424,18,Male,Private,Diploma,5,71.3,yes,>60 min,Yes,Mixed,86.6,62.3,84.6,76.3,C
2425,16,Female,Private,Graduate,0.6,85.5,yes,<15 min,Yes,Textbook,12,34.6,30,29.3,F
2426,17,Other,Public,Graduate,1.6,80.7,yes,>60 min,Yes,Mixed,67.4,33.7,44.4,41.6,E
2427,14,Male,Public,High School,1.1,95.8,yes,30-60 min,No,Notes,33.1,53.4,56.8,52.3,E
2428,16,Other,Public,Ph.D,1.8,50,no,>60 min,Yes,Notes,54.9,42,45.3,44.4,E
2429,18,Female,Private,Ph.D,2.8,58,yes,>60 min,Yes,Online videos,45.8,38.2,40.1,43,E
2430,15,Male,Private,High School,7.8,74.7,yes,>60 min,No,Notes,96.4,94.3,81.8,88.9,B
2431,14,Other,Private,High School,5.6,83.5,yes,<15 min,Yes,Textbook,89.5,84,92.7,83,C
2432,17,Male,Private,No Formal,0.9,54.5,yes,<15 min,Yes,Online videos,46.5,48.5,55.6,36.2,F
2433,14,Female,Private,Diploma,5.1,64.7,yes,30-60 min,Yes,Online videos,66.6,75.2,76.2,67.3,D
2434,15,Male,Private,High School,3.8,99.4,yes,<15 min,No,Group study,80.2,67.9,69.3,76.7,C
2435,16,Female,Private,Ph.D,6.2,66.4,no,30-60 min,Yes,Mixed,87.1,79.5,73.3,83.8,C
2436,17,Male,Public,Ph.D,7.1,69,yes,<15 min,No,Online videos,86.6,78.5,67.1,81,C
2437,17,Male,Private,Post Graduate,1,61.9,yes,30-60 min,Yes,Mixed,30.3,22.2,27.4,28.7,F
2438,18,Female,Private,High School,7.8,50.9,yes,30-60 min,Yes,Notes,85.7,86.6,75.7,74.8,C
2439,19,Other,Private,Post Graduate,0.9,64.3,no,>60 min,No,Notes,13.1,20.7,21,25.5,F
2440,14,Male,Private,Diploma,6,58.1,yes,>60 min,Yes,Coaching,78.8,72,82,72.2,C
2441,16,Female,Private,High School,7.3,69.1,yes,15-30 min,Yes,Coaching,73.5,82,76.2,78.2,C
2442,14,Other,Public,Graduate,6.1,61.6,no,<15 min,Yes,Textbook,78.7,66.8,77.6,78.1,C
2443,14,Male,Public,No Formal,1.6,70.2,yes,30-60 min,Yes,Online videos,62.7,40.5,31.1,40.2,E
2444,15,Female,Private,Ph.D,2.1,63.5,yes,30-60 min,No,Online videos,62.5,65.7,56.9,49.5,E
2445,17,Other,Private,No Formal,0.8,95.8,yes,15-30 min,Yes,Notes,31.4,48.7,44.1,48,E
2446,19,Other,Private,High School,1.5,64.6,yes,30-60 min,No,Coaching,31.1,32,9.8,35.2,F
2447,18,Male,Public,High School,1,59.4,yes,30-60 min,No,Mixed,19.2,34.6,36.5,26.4,F
2448,17,Other,Private,Graduate,0.9,88.1,yes,30-60 min,Yes,Online videos,46.5,47.9,26.9,39.9,F
2449,18,Other,Private,Post Graduate,4.7,90.6,yes,>60 min,Yes,Coaching,84.8,49.7,60.1,72.8,C
2450,15,Female,Public,Ph.D,1.1,78.2,yes,15-30 min,Yes,Textbook,35.4,44.1,31.1,45.5,E
2451,19,Female,Private,Diploma,3.7,67.2,yes,30-60 min,Yes,Group study,50.5,56.6,57.3,52.8,E
2452,19,Other,Public,High School,5.8,91.7,no,<15 min,No,Online videos,77.7,84.9,65.1,76.4,C
2453,14,Other,Public,No Formal,0.6,83.5,yes,30-60 min,Yes,Group study,33.9,51.6,42.1,39.9,F
2454,16,Other,Private,Graduate,5.3,69.1,yes,<15 min,Yes,Group study,69,65.2,65.8,67.8,D
2455,18,Other,Public,Ph.D,6.2,69.6,yes,30-60 min,Yes,Group study,82.9,75.4,77.8,75.1,C
2456,16,Female,Private,No Formal,4.5,50.1,yes,<15 min,Yes,Notes,58.1,46.4,68,53,E
2457,19,Male,Private,Ph.D,4.1,52.9,yes,<15 min,No,Coaching,49,66.4,66.9,54.2,E
2458,19,Male,Public,High School,6,56.7,yes,<15 min,Yes,Group study,85.4,48.5,69.4,69.9,D
2459,16,Other,Public,Ph.D,4.5,62.4,yes,30-60 min,No,Textbook,47.5,55.5,91.5,69.5,D
2460,14,Female,Private,No Formal,4.3,96.3,yes,15-30 min,No,Online videos,47,84.3,65.3,68.4,D
2461,16,Male,Private,Ph.D,6.5,91.1,yes,30-60 min,No,Online videos,80,84.2,72.7,84.7,C
2462,15,Male,Public,High School,6.8,52,yes,30-60 min,Yes,Group study,74.8,67.1,58,71.5,C
2463,16,Male,Private,High School,3.3,50.7,yes,<15 min,No,Coaching,44.6,65.3,60.5,55.3,D
2464,17,Female,Private,High School,3.6,79.3,yes,30-60 min,No,Mixed,75.4,34.2,39,51.1,E
2465,16,Female,Private,No Formal,6.5,68.8,yes,15-30 min,Yes,Group study,72.2,72.9,74.6,70.6,C
2466,15,Female,Public,Post Graduate,4.6,90.1,yes,30-60 min,No,Group study,79,87.8,88.4,80.6,C
2467,15,Other,Private,No Formal,5.7,98.6,no,15-30 min,Yes,Mixed,89.5,80.2,81.6,79.5,C
2468,18,Female,Public,Diploma,1.1,74.7,yes,<15 min,Yes,Online videos,25.2,6.9,41.1,40.7,E
2469,14,Other,Public,Ph.D,1.2,58.9,yes,<15 min,Yes,Coaching,45.6,27.5,32,31.3,F
2470,15,Other,Private,Diploma,4.5,94.6,yes,30-60 min,Yes,Coaching,55.7,57.8,63.5,67.7,D
2471,19,Male,Private,Post Graduate,6.6,71.1,yes,<15 min,Yes,Mixed,75.8,100,99.9,88.6,B
2472,14,Male,Public,Post Graduate,2.9,70.9,yes,<15 min,Yes,Group study,53,62.7,57.4,51.8,E
2473,16,Other,Public,Post Graduate,7.7,85.2,yes,>60 min,No,Coaching,91.5,94.1,87.4,97,A
2474,15,Female,Private,Ph.D,6.2,68.5,yes,30-60 min,Yes,Textbook,74.9,49.2,44,67.3,D
2475,14,Other,Public,No Formal,6.4,61.7,yes,>60 min,Yes,Textbook,73.4,77.4,93.6,77.4,C
2476,16,Female,Public,High School,6.8,87.1,yes,>60 min,No,Coaching,90.7,70,90.8,81.8,C
2477,17,Male,Public,High School,2.4,59.3,yes,>60 min,Yes,Coaching,57.5,56.3,60.8,51.2,E
2478,15,Other,Public,No Formal,3,52,yes,30-60 min,No,Mixed,47.5,47,30.9,43.8,E
2479,14,Other,Private,No Formal,1.4,74.9,yes,30-60 min,No,Group study,50.7,46.6,40.3,50.5,E
2480,14,Female,Private,No Formal,3.4,51.7,yes,15-30 min,No,Textbook,40.9,48.5,51.4,44.9,E
2481,17,Female,Public,Ph.D,0.8,89.5,yes,30-60 min,No,Online videos,39.5,67.2,38.5,41.5,E
2482,19,Male,Private,Ph.D,6.1,98.9,yes,15-30 min,No,Coaching,79.2,62.2,77.1,78.7,C
2483,15,Other,Private,Graduate,6.5,97.4,no,30-60 min,No,Coaching,89.5,69.7,94.3,81.3,C
2484,15,Female,Private,Ph.D,2.1,57.4,yes,30-60 min,No,Coaching,44.8,45.7,44,43.2,E
2485,16,Other,Private,Diploma,4.2,96.6,no,15-30 min,No,Coaching,56,54,64.5,62.3,D
2486,16,Male,Private,Diploma,5.5,55.6,yes,>60 min,No,Online videos,82.8,79.2,84.8,75.3,C
2487,15,Other,Public,Ph.D,6.1,67.7,no,>60 min,No,Online videos,80.6,72.3,75.6,85.3,B
2488,14,Other,Public,No Formal,7.8,54.2,yes,30-60 min,No,Online videos,93.4,79.4,81.6,78.8,C
2489,17,Other,Public,No Formal,2,91.1,no,15-30 min,No,Online videos,64,58.5,78.1,58.7,D
2490,16,Female,Public,Graduate,2.4,61.2,yes,<15 min,Yes,Mixed,64.6,57.1,62.3,50.7,E
2491,16,Other,Private,High School,6.9,83.2,no,30-60 min,Yes,Online videos,81,79.1,77.1,81.1,C
2492,15,Female,Public,Post Graduate,1.2,88.1,yes,>60 min,Yes,Textbook,57.6,61.2,53.1,51.1,E
2493,19,Other,Public,Graduate,6.4,69,yes,30-60 min,Yes,Textbook,85.7,76.1,78.8,86.1,B
2494,17,Other,Private,High School,1.5,89.5,yes,<15 min,Yes,Notes,39.3,48.5,43.9,45.2,E
2495,16,Other,Private,No Formal,4,66.3,yes,>60 min,No,Group study,69.4,44.7,57.1,62.4,D
2496,15,Other,Public,No Formal,4.9,57.4,yes,15-30 min,No,Mixed,51.7,34.8,56,57.5,D
2497,18,Male,Private,Diploma,6.3,73,yes,<15 min,No,Textbook,75.2,67.3,89.8,81.1,C
2498,19,Other,Public,High School,1.4,85.5,yes,15-30 min,Yes,Online videos,29.5,67,38.6,46.6,E
2499,14,Other,Public,No Formal,6.7,52,yes,30-60 min,Yes,Online videos,80.2,81.5,78.5,66.8,D
2500,19,Female,Private,Post Graduate,6.9,90.3,no,30-60 min,Yes,Coaching,96.2,100,100,99.9,A
2501,18,Female,Private,Ph.D,6.5,62.8,no,>60 min,Yes,Textbook,81.8,77.6,70.8,85.9,B
2502,14,Other,Public,Ph.D,7.5,84.1,no,>60 min,Yes,Online videos,94.4,100,100,100,A
2503,18,Female,Private,No Formal,7,55.7,yes,<15 min,Yes,Textbook,75.1,62.8,80.6,79,C
2504,14,Female,Private,High School,6.3,69.5,no,15-30 min,Yes,Textbook,66.2,53,79.9,73.2,C
2505,14,Other,Private,Diploma,4.8,73.3,yes,>60 min,No,Notes,61.3,71.1,73.7,72.5,C
2506,14,Other,Public,Ph.D,6.6,73.4,no,30-60 min,No,Online videos,91.5,84.9,84.5,85.4,B
2507,16,Male,Public,Graduate,7.8,63.7,yes,>60 min,No,Group study,89.1,100,100,95.4,A
2508,17,Other,Public,Diploma,5.3,76.5,yes,30-60 min,No,Notes,89.9,73.4,93.6,80,C
2509,16,Male,Public,Ph.D,2.3,63.9,yes,15-30 min,Yes,Mixed,40.5,33.4,36.5,39.5,F
2510,14,Male,Public,Graduate,2.4,58.3,yes,30-60 min,Yes,Online videos,23.5,62.1,45.9,44.2,E
2511,15,Other,Private,Ph.D,6.5,56.7,yes,>60 min,No,Coaching,79.5,71.7,79.5,73.5,C
2512,19,Male,Public,Ph.D,7.9,94.7,yes,<15 min,No,Group study,100,94.5,87.4,100,A
2513,19,Male,Private,Ph.D,2.1,56.5,yes,<15 min,Yes,Notes,38.4,41.4,45.8,37.6,F
2514,18,Male,Private,Graduate,7.8,69.8,yes,30-60 min,No,Textbook,88.4,76.6,66.5,81.6,C
2515,14,Female,Public,Diploma,2.5,62.6,yes,>60 min,Yes,Group study,36.6,62.7,53.8,44.8,E
2516,18,Male,Public,No Formal,3.6,80.8,yes,>60 min,Yes,Mixed,68.5,59.1,51.7,55.7,D
2517,18,Male,Private,Post Graduate,7.3,67.3,yes,15-30 min,No,Group study,71.8,71.9,65.2,75.5,C
2518,17,Female,Private,High School,7.7,64.3,yes,<15 min,Yes,Coaching,100,87.4,98.5,95.6,A
2519,14,Male,Public,No Formal,4.8,98.5,yes,15-30 min,No,Group study,69.3,61.4,83.1,81.3,C
2520,19,Male,Private,Post Graduate,7.6,99.8,yes,>60 min,Yes,Mixed,82.7,95.3,74.5,93.1,B
2521,16,Other,Public,Diploma,6.8,56.6,yes,30-60 min,No,Coaching,76.5,66.4,56.3,74.6,C
2522,14,Female,Public,Graduate,7,84.6,yes,30-60 min,Yes,Online videos,89.1,67.5,83.6,85.4,B
2523,15,Male,Private,Post Graduate,7,94.5,yes,30-60 min,Yes,Group study,99.2,87.9,81.2,100,A
2524,16,Male,Private,High School,3.4,98.5,yes,>60 min,No,Notes,72,83.3,65.4,70.5,C
2525,14,Other,Private,Post Graduate,0.7,64.9,yes,>60 min,No,Textbook,33.1,21.6,32.1,23.8,F
2526,15,Male,Private,Graduate,1.7,89.2,yes,15-30 min,Yes,Group study,36.6,41.4,43.9,39.4,F
2527,16,Male,Public,Graduate,1.1,66.4,yes,>60 min,No,Online videos,31,43.9,36.3,41.8,E
2528,19,Female,Public,High School,2.3,81.1,no,>60 min,No,Online videos,73.4,78.3,55.3,59.5,D
2529,14,Other,Private,Post Graduate,0.9,75.6,yes,>60 min,No,Notes,58.3,39.7,51.4,46.7,E
2530,17,Female,Private,High School,2.6,85.4,yes,15-30 min,No,Online videos,57.5,46.1,40.9,47.3,E
2531,19,Other,Private,Graduate,4.9,95.6,yes,15-30 min,No,Group study,63,85,57.6,75.3,C
2532,18,Female,Public,Post Graduate,1.6,55.6,yes,15-30 min,Yes,Online videos,18.9,27.5,20.8,27.5,F
2533,19,Male,Public,No Formal,2.9,61.1,yes,30-60 min,No,Textbook,61.5,59.5,60.5,56.3,D
2534,15,Other,Private,Diploma,2.2,79.3,yes,15-30 min,Yes,Mixed,66.3,46.7,34.6,48.4,E
2535,18,Other,Private,Post Graduate,1.2,67.9,no,>60 min,Yes,Group study,59.8,36.9,54.7,45,E
2536,19,Other,Public,High School,5.6,77.9,yes,30-60 min,Yes,Notes,73.4,86.3,67.7,75,C
2537,15,Male,Private,No Formal,7.2,89.1,yes,15-30 min,Yes,Textbook,76.8,82.4,100,85.1,B
2538,16,Female,Private,Diploma,5.9,85,no,<15 min,No,Group study,67.7,82.9,73.9,78.3,C
2539,17,Female,Public,Diploma,5.6,88.3,yes,<15 min,Yes,Textbook,86.6,92.4,100,89.5,B
2540,16,Male,Private,Ph.D,7.9,58.1,yes,15-30 min,Yes,Mixed,100,57.2,94.1,94,B
2541,15,Other,Private,Post Graduate,6,51.5,yes,>60 min,Yes,Online videos,58.5,67.9,54,68.9,D
2542,19,Male,Private,High School,0.9,93.6,no,>60 min,No,Textbook,41.3,41.8,43.4,41.2,E
2543,19,Male,Public,High School,2.1,72.6,yes,>60 min,Yes,Mixed,31.2,16,25.4,39.1,F
2544,16,Other,Private,High School,5.3,81.8,yes,30-60 min,No,Online videos,70.7,54.6,52.6,67.9,D
2545,18,Female,Public,Ph.D,5.3,53.6,yes,<15 min,No,Notes,38.7,54.4,64.8,57,D
2546,16,Other,Public,Diploma,6.7,85.4,yes,30-60 min,No,Group study,76.7,83.4,92,88.4,B
2547,18,Female,Public,Ph.D,1.7,55.1,yes,<15 min,Yes,Notes,29.8,48.7,32.9,39.6,F
2548,17,Other,Private,No Formal,7.9,89.4,yes,<15 min,No,Online videos,82.7,100,93.5,94.9,B
2549,16,Male,Public,Graduate,4.4,53,yes,15-30 min,No,Coaching,57.4,59.9,62.8,66.1,D
2550,14,Other,Public,No Formal,7.4,54.2,yes,>60 min,No,Coaching,80.2,71.3,73.9,80.2,C
2551,17,Male,Public,Graduate,4.5,67.2,yes,15-30 min,Yes,Group study,78.6,64.1,58.8,64.8,D
2552,15,Male,Public,No Formal,1.9,60.6,yes,>60 min,Yes,Mixed,37.8,50.6,38.5,40.2,E
2553,15,Female,Public,No Formal,3.1,99.2,yes,>60 min,No,Online videos,61.9,69.8,67,69.9,D
2554,15,Female,Public,No Formal,2.2,72.6,yes,>60 min,Yes,Group study,60.1,65.9,52.4,55.4,D
2555,19,Male,Private,Post Graduate,2.5,73.4,yes,>60 min,Yes,Notes,66.3,67.1,58.4,56.3,D
2556,14,Other,Private,Graduate,7.2,52.3,yes,15-30 min,No,Coaching,66.8,84.7,90.5,78.8,C
2557,18,Male,Private,Graduate,3.3,74.6,yes,>60 min,Yes,Mixed,56.7,64.4,78.2,65,D
2558,19,Other,Private,High School,1.9,53.2,yes,<15 min,No,Notes,27.5,24,42.1,34.9,F
2559,14,Male,Public,High School,3.2,81.4,yes,30-60 min,Yes,Textbook,46.6,51.4,55.2,49.6,E
2560,17,Male,Public,Diploma,5.1,99.1,yes,30-60 min,Yes,Coaching,70.9,67.1,68.2,73.1,C
2561,17,Male,Public,Ph.D,2,66.5,no,>60 min,Yes,Mixed,52.9,68.9,41.9,51.6,E
2562,16,Female,Private,Post Graduate,0.9,90.4,yes,30-60 min,Yes,Mixed,48.5,63.2,50.6,52.2,E
2563,18,Female,Public,No Formal,7,98.3,no,>60 min,Yes,Online videos,100,98.5,100,100,A
2564,16,Male,Private,No Formal,2.3,98.4,yes,>60 min,Yes,Group study,59.5,61.7,56.8,62.8,D
2565,16,Female,Public,Diploma,7.5,87.3,yes,30-60 min,No,Mixed,82.5,84.1,83,98.5,A
2566,16,Other,Public,High School,0.9,93.5,no,<15 min,Yes,Coaching,56.7,46.6,63.3,51.4,E
2567,18,Male,Private,Diploma,5.4,67.6,yes,<15 min,No,Group study,60.4,89.7,67.6,69.1,D
2568,17,Male,Public,Ph.D,5.5,79.2,no,30-60 min,Yes,Mixed,71.9,80.5,87.8,76.6,C
2569,16,Female,Private,High School,1.7,83.1,yes,30-60 min,No,Online videos,62.4,53.7,53.4,54.8,E
2570,19,Other,Private,Graduate,5.5,60.9,yes,<15 min,No,Textbook,63.2,63.7,69.3,59.5,D
2571,18,Male,Private,Diploma,3.4,65.7,no,<15 min,Yes,Online videos,49.2,52,59.3,54.7,E
2572,19,Male,Private,Graduate,3.4,68.1,yes,15-30 min,No,Textbook,63.6,51.7,62.9,52.1,E
2573,18,Male,Private,Graduate,7.1,53.3,yes,>60 min,Yes,Online videos,90,79.1,86.2,79.2,C
2574,16,Female,Public,Graduate,7.6,72.8,yes,>60 min,Yes,Notes,85.8,100,97.5,99.1,A
2575,18,Male,Public,High School,1.8,89.2,no,<15 min,No,Textbook,26.7,33.5,55.7,55.8,D
2576,15,Female,Private,Ph.D,5.6,82.5,yes,30-60 min,Yes,Group study,76.9,70.1,94.5,77.3,C
2577,15,Female,Public,High School,1.7,81.3,yes,>60 min,No,Notes,47.8,26.8,46.9,49.7,E
2578,16,Male,Public,No Formal,0.8,80.3,yes,15-30 min,Yes,Group study,48.2,35.3,44.2,39.8,F
2579,19,Other,Public,No Formal,1.6,51.1,yes,>60 min,No,Mixed,41.2,26,32.4,27.2,F
2580,17,Other,Private,No Formal,5.3,50.2,yes,30-60 min,Yes,Notes,77.1,67.7,68.5,61.6,D
2581,16,Other,Private,Diploma,5.9,58.5,yes,>60 min,Yes,Coaching,82.9,51.1,60.9,62.8,D
2582,16,Other,Public,Post Graduate,4.3,95.7,yes,15-30 min,No,Notes,61,63.1,82.2,71.8,C
2583,15,Male,Private,No Formal,7.6,92.9,yes,<15 min,No,Textbook,100,100,97.3,96.7,A
2584,17,Other,Public,No Formal,6.2,78.8,yes,15-30 min,Yes,Mixed,68.4,89.9,67.9,85.1,B
2585,16,Male,Private,Graduate,1.7,69.3,yes,15-30 min,Yes,Online videos,10.5,33.6,37.5,36.7,F
2586,17,Male,Public,Graduate,2.1,98.2,yes,<15 min,Yes,Group study,41,30.4,57.5,53.9,E
2587,16,Female,Private,Graduate,5,53.3,yes,<15 min,No,Group study,60.4,59.2,56.4,59.6,D
2588,15,Other,Private,No Formal,3,54.9,yes,30-60 min,No,Mixed,43.4,41.4,39.6,39.4,F
2589,19,Female,Private,High School,0.5,81.1,yes,30-60 min,Yes,Mixed,36.9,42.2,42.4,41.1,E
2590,16,Female,Public,Diploma,0.7,77.4,yes,30-60 min,No,Mixed,38.9,23.4,51,39.9,F
2591,14,Female,Private,Post Graduate,3.6,99.1,yes,<15 min,No,Group study,68,54.9,70.7,66.5,D
2592,16,Female,Public,Graduate,4.4,90.1,yes,<15 min,No,Online videos,64.1,73,80.5,64.4,D
2593,17,Female,Private,Post Graduate,5.4,96.9,yes,>60 min,Yes,Online videos,76.6,100,78.5,87.7,B
2594,14,Female,Public,Graduate,6.2,86.1,yes,<15 min,Yes,Group study,89.2,96.1,81.2,87.9,B
2595,15,Female,Private,Diploma,7.8,96.3,yes,>60 min,Yes,Group study,100,95,100,100,A
2596,14,Female,Private,Graduate,6.8,84.3,yes,15-30 min,No,Coaching,95.1,93.6,100,97,A
2597,17,Male,Public,Diploma,3.2,76.3,yes,15-30 min,Yes,Notes,48.7,52.2,71.7,62.2,D
2598,18,Male,Public,No Formal,4.5,79,no,30-60 min,No,Mixed,93,80.2,72.4,75.6,C
2599,19,Male,Private,Graduate,2.1,95.1,yes,30-60 min,Yes,Coaching,60.8,72,51.9,60,D
2600,16,Female,Public,High School,7.8,55.2,yes,<15 min,Yes,Notes,86.8,97.1,86.3,89.4,B
2601,19,Male,Private,High School,4.5,78.3,yes,<15 min,No,Textbook,88.5,78.7,49.3,72.5,C
2602,15,Male,Public,Post Graduate,2.4,69.6,yes,>60 min,Yes,Online videos,47.7,48.6,65,55.9,D
2603,18,Other,Public,No Formal,5.9,83.1,yes,<15 min,No,Group study,84,77.9,75.2,80.9,C
2604,17,Male,Private,No Formal,4.2,80.2,yes,30-60 min,Yes,Coaching,46.5,58.9,55.4,63.9,D
2605,18,Other,Private,Diploma,8,70,yes,<15 min,No,Online videos,92.6,100,100,100,A
2606,18,Male,Public,Graduate,1.1,84.5,no,<15 min,Yes,Notes,37.3,52.2,65.2,52,E
2607,17,Other,Public,Ph.D,3,76.8,yes,30-60 min,Yes,Online videos,60.4,71.9,68.2,62.2,D
2608,15,Male,Public,Graduate,7.6,59.4,yes,>60 min,Yes,Online videos,91.2,90,83.2,86.1,B
2609,17,Female,Private,High School,4,81.9,yes,<15 min,No,Group study,65.5,58.7,73.4,67.3,D
2610,18,Other,Private,Diploma,2.8,51.3,yes,30-60 min,Yes,Notes,47.3,26.9,46.4,41.9,E
2611,19,Male,Private,Diploma,5,91.1,yes,<15 min,Yes,Coaching,70.6,90.3,86.8,70.7,C
2612,19,Female,Private,Diploma,5.5,95.3,no,15-30 min,No,Coaching,64,69.9,85,74.1,C
2613,15,Other,Public,Post Graduate,1.2,53.9,yes,>60 min,Yes,Mixed,30.9,22.5,18.3,21.4,F
2614,17,Male,Private,Post Graduate,2.4,62.8,yes,>60 min,No,Group study,45.1,56,39,38.6,F
2615,14,Male,Private,Post Graduate,2.8,56.3,yes,30-60 min,Yes,Textbook,52.4,50.8,47.8,45.7,E
2616,18,Other,Public,Diploma,2.3,88.6,yes,30-60 min,No,Textbook,55.6,51.5,42.9,61.9,D
2617,19,Male,Private,High School,3.4,53.6,yes,<15 min,No,Group study,30.9,47.5,16.5,46.9,E
2618,14,Other,Private,No Formal,3,77.1,no,15-30 min,No,Textbook,58,72.4,59,57.7,D
2619,17,Other,Public,Post Graduate,6,69.4,yes,<15 min,Yes,Online videos,84.4,78.5,82.8,75,C
2620,19,Other,Private,Ph.D,5,87.5,yes,<15 min,No,Mixed,60.8,99,93.1,65.3,D
2621,19,Other,Private,No Formal,3.7,82,yes,<15 min,No,Coaching,54.3,40.8,59.6,61,D
2622,16,Other,Private,No Formal,2,77.2,yes,>60 min,No,Notes,47.6,40.4,41.8,44.3,E
2623,14,Female,Public,High School,3.7,75.2,yes,15-30 min,No,Group study,38.9,42.4,68.1,56,D
2624,19,Other,Private,Post Graduate,1.9,88.8,yes,15-30 min,Yes,Online videos,27.6,54.1,36.3,46.8,E
2625,19,Female,Private,High School,7.6,73.9,yes,<15 min,Yes,Notes,90.8,70.5,100,83.4,C
2626,17,Female,Private,No Formal,1.8,71,no,15-30 min,Yes,Mixed,45.9,36.6,35.4,44.5,E
2627,19,Male,Private,Diploma,6.9,51.3,yes,15-30 min,No,Mixed,85.9,75.7,86.1,81.8,C
2628,14,Other,Private,Diploma,5.1,63.4,yes,>60 min,No,Textbook,74,74.6,73.9,72.8,C
2629,17,Female,Public,Diploma,6.6,68.5,yes,<15 min,Yes,Group study,61,73.7,62.4,75.6,C
2630,14,Other,Public,Graduate,7.2,78.9,yes,<15 min,No,Mixed,77.6,94.6,80.8,84.9,C
2631,19,Female,Public,High School,6.5,83.7,yes,<15 min,Yes,Notes,77.7,70.5,71.3,81.2,C
2632,18,Male,Private,No Formal,4.9,98.1,yes,>60 min,No,Group study,76.7,75.7,66.9,71.7,C
2633,19,Female,Private,No Formal,2.5,63.8,yes,>60 min,Yes,Textbook,43.1,45.9,59.1,48,E
2634,17,Other,Private,Post Graduate,5.5,77.2,yes,15-30 min,Yes,Online videos,72.4,48.5,49.3,67.8,D
2635,14,Female,Private,Graduate,0.5,87.8,yes,15-30 min,No,Group study,29,48.2,16.8,37.1,F
2636,14,Other,Private,High School,3.3,65.5,no,15-30 min,No,Coaching,68.3,46.1,52.5,53.5,E
2637,16,Male,Public,Ph.D,6.9,77.4,yes,<15 min,No,Online videos,91,91.2,76.9,89.7,B
2638,18,Other,Public,Graduate,4.9,70.9,yes,30-60 min,No,Online videos,80.8,67.7,84.4,76.9,C
2639,14,Other,Public,Post Graduate,2.5,69.9,yes,>60 min,Yes,Group study,59.2,82.5,54,54.3,E
2640,19,Other,Public,Post Graduate,7.2,53.1,no,15-30 min,No,Group study,51.6,92.9,85.8,76.7,C
2641,15,Male,Private,High School,0.6,51.2,yes,<15 min,No,Mixed,35.5,27,13.9,31.9,F
2642,16,Female,Private,Graduate,7.1,64.8,yes,15-30 min,No,Notes,77.2,81.1,80.3,78.3,C
2643,15,Male,Public,Graduate,6.2,95.6,yes,<15 min,No,Online videos,88.2,94.3,100,91.4,B
2644,16,Female,Private,Diploma,1.6,59.6,yes,<15 min,Yes,Mixed,34.3,16.7,37.5,30.8,F
